UserID,UserRole,FName,MName,LName,UserSIN,Gender,StreetNo,StreetName,City,Province,PostalCode,Phone,Cell,Email,Photo,Password
33,Student,Jacob,,Singh,605580943,Other,3339,Regent,Montreal,QC,E2A7C7,5371344164,3537134416,zxc123123@gmail.com,,OF90316
34,Student,Leo,,Fortin,753966387,Male,3430,Simcoe,Havre-Saint-Pierre,QC,P8B4M9,8102491485,5810249148,sdw23@gmail.com,,PP55429
35,Student,Logan,L,Levesque,827733165,Male,1744,Stanley,Montreal,QC,E2F7J5,5572773889,1557277388,bvcvfd32@gmail.com,,PD86494
36,Student,William,D,Chan,558140098,Male,3451,Victoria,Laval,QC,H5D5O4,2540959390,8254095939,hhyu322@gmail.com,,KL45152
38,Student,Jack,E,Ross,591888696,Male,5635,York,Laval,QC,N6P3F9,7919818728,7791981872,gfh2341@gmail.com,,PE86956
39,Student,James,G,Clark,656410184,Male,9579,Alfred,Montreal,QC,M7M2F7,5466986383,7546698638,dfgnv24@gmail.com,,ON91553
40,Student,Aiden,Q,Johnston,507091575,Male,5211,Bay,Laval,QC,G5C6G6,3814628222,6381462822,fdhgf456@gmail.com,,PG86444
41,Student,Lincoln,Q,Walker,702218673,Other,1925,Brock,Montreal,QC,I8A4N9,9671238544,7967123854,gui789@gmail.com,,JQ43585
42,Student,Theo,,Thomas,727941182,Male,5308,Catherine,Montreal,QC,I5M7N8,0032122033,5003212203,gkjh567@gmail.com,,HK47998
43,Student,Thomas,,King,358003410,Male,9566,Dalhousie,Laval,QC,E5K4J3,4499530708,1449953070,gww23@gmail.com,,PH59305
44,Student,Mateo,,Gagne,433017375,Male,4928,Dufferin,Montreal,QC,Q3C6J1,6967645463,5696764546,ddkkb33@gmail.com,,QM91071
45,Student,Hudson,,Bergeron,996439261,Male,5078,Duke,Montreal,QC,P7G4F9,0790544305,7079054430,dfgcc2@gmail.com,,GC65680
46,Student,Gabriel,,Li,218023108,Male,5030,Dundas,Laval,QC,F7P6K8,7791440773,1779144077,ffbn43@gmail.com,,DJ91097
47,Student,Mason,,Boucher,995560948,Male,4225,Elgin,Montreal,QC,M8E4E4,7775431547,3777543154,sdf76@gmail.com,,LL3026
48,Student,Owen,,Landry,456479535,Male,4408,GreyorGray,Montreal,QC,A2L2A4,2002855034,6200285503,hg8p@gmail.com,,IQ88714
49,Student,Kayden,L,Poirier,835698301,Male,2576,King,Montreal,QC,G7L7H9,9062363838,3906236383,ddfr32@gmail.com,,KL15245
50,Student,Alexande,J,Murray,851741887,Male,1339,Peel,Montreal,QC,F2I7G4,3885976087,6388597608,vcv32dd@gmail.com,,KF1241
1,Teacher,Sophia,E,Smith,763096026,Female,1021,Alfred,Montreal,QC,A2A9E6,7275581869,2727558186,adsf@gmail.com,,JP32950
4,Teacher,Amelia,,Martin,158974962,Female,4588,Catherine,Havre-Saint-Pierre,NB,N5E9L1,6546212586,1654621258,sdfg21@gmail.com,,LP54266
13,Teacher,Abigail,Q,Anderson,829988289,Female,8281,Queen,Montreal,QC,O3L6N4,6996811152,8699681115,cvb2f@gmail.com,,NI17254
20,Teacher,Nora,D,Gauthier,167994607,Female,2891,Alfred,Havre-Saint-Pierre,NB,B1D2I9,8850246834,7885024683,bnmfgh43@gmail.com,,HF49349
22,Teacher,Scarlett,J,Morin,431493446,Female,72,Brock,Laval,QC,M3G1J8,6460344542,4646034454,cvbn23@gmail.com,,GM75521
26,Teacher,Jackson,J,Scott,779861404,Male,4704,Duke,Montreal,QC,C3D1A3,4422326943,3442232694,jhkh092@gmail.com,,FF96031
32,Teacher,Ethan,C,Belanger,135890070,Male,854,Queen,Laval,QC,C2A1J8,4588803583,3458880358,cvb76787@gmail.com,,QN29096
37,Teacher,Grayson,,Reid,965516747,Male,6866,Wellington,Montreal,NB,G4N4F8,6651692723,7665169272,kio46@gmail.com,,IN20077
